Securities,Quantity,Rate,Amount
BHEL,50,300,15000
DCAL,500,276,138000
DWARKESH,2044,78.49,160433.56
DWARKESH,956,78.49,75036.44
DWARKESH,2044,78.51,160474.44
DWARKESH,956,78.51,75055.56
ESAFSFB,10000,53.15,531500
NTPC,50,370,18500
PRIMO,10000,37.85,378500
SUBEXLTD,5000,31.38,156900
INFYB,120,1650,198000
TATASTEEL,75,170,12750
RELIANCE,25,2950,73750
SBIN,300,780,234000
AXISBANK,150,1200,180000
TECHM,80,1350,108000
MARUTI,10,12500,125000
SUNPHARMA,60,1580,94800
ADANIPORTS,200,1400,280000
HDFCBANK,40,1500,60000
LT,30,3600,108000
WIPRO,400,480,192000
